Rozmiar instancji,BFS,DFS,LC
5,1.4082399999999998e-05,8.827e-06,1.09684e-05
6,2.2532166666666667e-05,3.1439e-05,2.0717e-05
7,1.1164333333333333e-05,9.318e-06,1.4028333333333334e-05
8,1.6173833333333334e-05,1.9377e-05,1.9409166666666667e-05
9,6.568316666666666e-05,5.331e-05,6.440599999999999e-05
10,0.0023108283333333336,0.000334868,7.30655e-05
11,0.0010067333333333335,0.000460964,0.00032489533333333333
12,0.00519532,0.00112206,0.0006181951666666667
13,0.012656666666666665,0.00280053,0.0018581716666666668
14,0.000125622,0.000115196,0.00012519783333333334
15,0.003766908333333333,0.00363058,0.0038839316666666665
16,4.55979,0.00596932,0.004733688333333334
17,1.92237,283.52571025000003,0.004902531666666667
18,0.12483433333333334,0.0441271,0.008384056666666665
19,288.081,0.036638,0.0023555150000000003
20,125.041,0.0686627,0.1349435
21,3.14893,0.0429925,0.016506299999999998
22,,0.195385,0.043263260000000005
23,,0.028303,0.0272157
24,10.1408,0.0859172,0.003117626666666667
25,,1.6939,
26,,4.21752,
27,,51.6675,
28,,24.1055,
29,,16.6842,
30,,2.66163,
31,,53.6548,
32,,41.5873,
33,,14.2502,
34,,278.292,
35,,265.441,
36,,12.3143,
37,,170.33,
38,,3062.9,
39,,2151.55,
