N;błądNN;błądRNN;czasNNs;czasRNNs
5;6.829268292682928;6.829268292682928;1.87044e-05;2.10593e-05
6;10.666666666666668;7.333333333333333;2.11625e-05;2.27517e-05
7;70.06802721088435;0.0;2.3508e-05;2.91997e-05
8;0.0;0.0;2.49917e-05;2.759125e-05
9;73.57142857142858;0.0;2.233855e-05;2.7894249999999998e-05
10;119.6078431372549;92.15686274509804;2.38951e-05;3.0286350000000002e-05
11;85.27131782945736;18.6046511627907;2.423465e-05;3.37621e-05
12;79.54545454545455;21.59090909090909;2.3229500000000002e-05;3.51765e-05
13;17.733990147783253;17.733990147783253;2.523585e-05;3.7357e-05
14;38.34586466165413;0.0;2.558835e-05;3.861825e-05
17;135.8974358974359;43.58974358974359;2.518755e-05;4.4802299999999996e-05
34;30.870917573872475;23.63919129082426;2.979125e-05;0.00018081985
36;21.58859470468432;13.1704005431093;2.9754199999999997e-05;0.00020793515
39;16.209150326797385;14.967320261437909;3.291195e-05;0.00026721055
43;2.6334519572953736;1.1387900355871887;3.39897e-05;0.00030088114999999996
45;24.86050836949783;14.321140731556106;3.832795e-05;0.0004107134
48;33.671171171171174;22.353603603603602;3.28619e-05;0.00044465535000000003
53;37.78421433743664;24.315713251267198;3.78732e-05;0.0005706350499999999
56;25.12437810945274;21.144278606965177;4.1790749999999996e-05;0.00072613755
65;43.50190320826536;19.73898858075041;4.7697799999999996e-05;0.0011503955
70;11.669640317534197;8.124531326765444;4.728625e-05;0.0013574165
71;31.846153846153847;17.282051282051285;5.408145e-05;0.0013961585
100;31.123378415677617;19.55837703560585;6.802205e-05;0.0039880325000000005
171;42.3956442831216;30.01814882032668;0.0001476626;0.016155444999999997
323;30.76923076923077;28.355957767722472;0.000464825;0.11192125
358;55.803955288048144;50.214961306964746;0.0005271972500000001;0.1400269
403;43.40770791075051;41.86612576064908;0.0006294226;0.19383205
443;44.19117647058823;41.838235294117645;0.0007452614;0.26373820000000003
